,name,categories,address,lat,lng,labeledLatLngs,distance,postalCode,cc,neighborhood,city,state,country,formattedAddress,crossStreet,id,ratings
48,Zucker's Bagels & Smoked Fish,Bagel Shop,146 Chambers St,40.71558,-74.00985,"[{'label': 'display', 'lat': 40.71558, 'lng': -74.00985}]",453,10007,US,,New York,NY,United States,"['146 Chambers St (btwn W. Broadway & Greenwich St)', 'New York, NY 10007', 'United States']",btwn W. Broadway & Greenwich St,4a4baaf8f964a52091ac1fe3,8.4
49,The Odeon,French Restaurant,145 W Broadway,40.71701011409906,-74.00804244562225,"[{'label': 'display', 'lat': 40.71701011409906, 'lng': -74.00804244562225}]",506,10013,US,,New York,NY,United States,"['145 W Broadway (at Thomas St)', 'New York, NY 10013', 'United States']",at Thomas St,3fd66200f964a52083e61ee3,8.7
50,Restaurant Marc Forgione,New American Restaurant,134 Reade St,40.71637984317071,-74.00962933453428,"[{'label': 'display', 'lat': 40.71637984317071, 'lng': -74.00962933453428}]",508,10013,US,,New York,NY,United States,"['134 Reade St (btwn Hudson and Greenwich St)', 'New York, NY 10013', 'United States']",btwn Hudson and Greenwich St,48510cf9f964a520a5501fe3,8.7
51,Victoria's Secret,Lingerie Store,,40.71067911299145,-74.01170712103871,"[{'label': 'display', 'lat': 40.71067911299145, 'lng': -74.01170712103871}]",531,,US,,New York,NY,United States,"['New York, NY', 'United States']",,57e075ea498e4cc3eb5c1383,8.7
52,Eataly Downtown,Gourmet Shop,101 Liberty St,40.710075,-74.011976,"[{'label': 'display', 'lat': 40.710075, 'lng': -74.011976}, {'label': 'entrance', 'lat': 40.710051, 'lng': -74.012128}]",583,10007,US,,New York,NY,United States,"['101 Liberty St (btwn Church & Greenwich St)', 'New York, NY 10007', 'United States']",btwn Church & Greenwich St,579c12cd498e6e815b3acf50,9.1
53,La Parisienne,French Restaurant,9 Maiden Ln,40.70942332606939,-74.00999194450296,"[{'label': 'display', 'lat': 40.70942332606939, 'lng': -74.00999194450296}]",497,10038,US,,New York,NY,United States,"['9 Maiden Ln', 'New York, NY 10038', 'United States']",,5a47a5e4e679bc7b226989ca,8.5
54,One World Trade Center,Building,1 World Trade Ctr,40.71306941116871,-74.01313304901123,"[{'label': 'display', 'lat': 40.71306941116871, 'lng': -74.01313304901123}]",601,10007,US,,New York,NY,United States,"['1 World Trade Ctr (btwn Fulton & West St)', 'New York, NY 10007', 'United States']",btwn Fulton & West St,4abe7f9ef964a520068e20e3,9.3
55,Aire Ancient Baths,Spa,88 Franklin St,40.718141411641234,-74.00494121234846,"[{'label': 'display', 'lat': 40.718141411641234, 'lng': -74.00494121234846}, {'label': 'entrance', 'lat': 40.718134, 'lng': -74.004846}]",609,10013,US,,New York,NY,United States,"['88 Franklin St (at Church St)', 'New York, NY 10013', 'United States']",at Church St,4fbbd9ede4b0756c0d4c2364,9.5
56,Kaffe 1668,Coffee Shop,275 Greenwich St,40.71504512558996,-74.0115087102821,"[{'label': 'display', 'lat': 40.71504512558996, 'lng': -74.0115087102821}]",530,10007,US,,New York,NY,United States,"['275 Greenwich St (at Murray St)', 'New York, NY 10007', 'United States']",at Murray St,49ccd495f964a52091591fe3,8.6
57,9/11 Memorial North Pool,Memorial Site,West St,40.71207726282092,-74.01318669319153,"[{'label': 'display', 'lat': 40.71207726282092, 'lng': -74.01318669319153}]",609,,US,,New York,NY,United States,"['West St (at Fulton St)', 'New York, NY', 'United States']",at Fulton St,58801864cc5b6a14dedce689,9.4
58,Blue Spoon Coffee Co.,Coffee Shop,90 William St,40.708103,-74.007614,"[{'label': 'display', 'lat': 40.708103, 'lng': -74.007614}]",532,10038,US,,New York,NY,United States,"['90 William St (at Platt St)', 'New York, NY 10038', 'United States']",at Platt St,500d3cede4b0f6804faa90a8,8.6
59,9/11 Museum Auditorium,Auditorium,180 Greenwich St,40.711859516489525,-74.01281437966045,"[{'label': 'display', 'lat': 40.711859516489525, 'lng': -74.01281437966045}]",581,10007,US,,New York,NY,United States,"['180 Greenwich St', 'New York, NY 10007', 'United States']",,5941c0abf193c012d47fc4e8,9.0
60,Frankly Wines,Wine Shop,66 W Broadway,40.71447694276293,-74.0100388662148,"[{'label': 'display', 'lat': 40.71447694276293, 'lng': -74.0100388662148}, {'label': 'entrance', 'lat': 40.714708, 'lng': -74.01006}]",391,10007,US,,New York,NY,United States,"['66 W Broadway (Murray & Warren)', 'New York, NY 10007', 'United States']",Murray & Warren,4a7f140cf964a520b4f21fe3,8.1
61,Sticky's Finger Joint,Fried Chicken Joint,21 Maiden Ln,40.70930873620126,-74.00901602883607,"[{'label': 'display', 'lat': 40.70930873620126, 'lng': -74.00901602883607}]",457,10038,US,,New York,NY,United States,"['21 Maiden Ln', 'New York, NY 10038', 'United States']",,588251d3ac13691c90477561,8.3
62,Crunch - FiDi,Gym / Fitness Center,140 Broadway,40.708614,-74.010013,"[{'label': 'display', 'lat': 40.708614, 'lng': -74.010013}]",568,10005,US,,New York,NY,United States,"['140 Broadway', 'New York, NY 10005', 'United States']",,5a697271ad178907f79be157,8.8
63,National September 11 Memorial & Museum (National September 11 Memorial),Memorial Site,180 Greenwich St,40.711349,-74.013197,"[{'label': 'entrance', 'lat': 40.711481, 'lng': -74.012691}, {'label': 'display', 'lat': 40.711349, 'lng': -74.013197}]",625,10006,US,,New York,NY,United States,"['180 Greenwich St (btwn Liberty & Fulton St)', 'New York, NY 10006', 'United States']",btwn Liberty & Fulton St,4b6b5abff964a520fb022ce3,9.2
64,9/11 Memorial South Pool,Memorial Site,West St,40.711039,-74.013082,"[{'label': 'display', 'lat': 40.711039, 'lng': -74.013082}]",625,10007,US,,New York,NY,United States,"['West St (at Liberty St)', 'New York, NY 10007', 'United States']",at Liberty St,587ffcc3ea29b80cdce3468d,9.2
65,Two Hands Restaurant & Bar,Australian Restaurant,251 Church St,40.71793729407671,-74.0056947993655,"[{'label': 'display', 'lat': 40.71793729407671, 'lng': -74.0056947993655}]",580,10013,US,,New York,NY,United States,"['251 Church St', 'New York, NY 10013', 'United States']",,56d1c7e2cd105fe2c5c705b6,8.8
66,Taim,Falafel Restaurant,75 Maiden Ln,40.70772671818465,-74.00826536952118,"[{'label': 'display', 'lat': 40.70772671818465, 'lng': -74.00826536952118}]",588,10038,US,Financial District,New York,NY,United States,"['75 Maiden Ln', 'New York, NY 10038', 'United States']",,5b82c540c97f28002c65fa73,8.8
67,Washington Market Park,Playground,Greenwich St,40.71704598853704,-74.01109457015991,"[{'label': 'display', 'lat': 40.71704598853704, 'lng': -74.01109457015991}]",643,,US,,New York,NY,United States,"['Greenwich St (at Reade St)', 'New York, NY', 'United States']",at Reade St,4a9bcc2ff964a5203b3520e3,9.4
68,Y7 Studio - Tribeca,Gym / Fitness Center,57 Leonard St,40.7178305720227,-74.0062042065723,"[{'label': 'display', 'lat': 40.7178305720227, 'lng': -74.0062042065723}]",568,10013,US,,New York,NY,United States,"['57 Leonard St', 'New York, NY 10013', 'United States']",,5a817f4859c4231a14ba3998,8.6
69,Manhatta,New American Restaurant,28 Liberty St,40.70765446542056,-74.00913779853676,"[{'label': 'display', 'lat': 40.70765446542056, 'lng': -74.00913779853676}]",623,10005,US,,New York,NY,United States,"['28 Liberty St', 'New York, NY 10005', 'United States']",,5ada32224f0e584592628c1f,9.0
70,One World Observatory,Scenic Lookout,1 World Trade Ctr,40.712819,-74.013274,"[{'label': 'display', 'lat': 40.712819, 'lng': -74.013274}]",612,10007,US,,New York,NY,United States,"['1 World Trade Ctr (Floor 100)', 'New York, NY 10007', 'United States']",Floor 100,515abd65e4b08eda86b30e6e,8.8
71,SKY TING YOGA,Yoga Studio,381 Broadway,40.71812415369316,-74.00305076100503,"[{'label': 'display', 'lat': 40.71812415369316, 'lng': -74.00305076100503}]",650,10013,US,,New York,NY,United States,"['381 Broadway', 'New York, NY 10013', 'United States']",,582dbaabd21e031c1a35423d,9.2
72,Laughing Man Coffee & Tea,Coffee Shop,184 Duane St,40.7173944529165,-74.01010324607125,"[{'label': 'display', 'lat': 40.7173944529165, 'lng': -74.01010324607125}]",623,10013,US,Tribeca,New York,NY,United States,"['184 Duane St (btwn Greenwich & Hudson St.)', 'New York, NY 10013', 'United States']",btwn Greenwich & Hudson St.,4ea0afbf9adf1e334e4cc0e6,8.9
73,Bowne & Co. Printing Office,Paper / Office Supplies Store,207-209 Water St,40.707362323027475,-74.00350391864777,"[{'label': 'display', 'lat': 40.707362323027475, 'lng': -74.00350391864777}]",633,10038,US,Financial District,New York,NY,United States,"['207-209 Water St (btwn Fulton & Beekman St)', 'New York, NY 10038', 'United States']",btwn Fulton & Beekman St,4ba135c2f964a52066a237e3,8.9
74,Shanghai 21,Shanghai Restaurant,21 Mott St,40.714423425836316,-73.99890393018723,"[{'label': 'display', 'lat': 40.714423425836316, 'lng': -73.99890393018723}]",629,10013,US,Chinatown,New York,NY,United States,"['21 Mott St (at Mosco St)', 'New York, NY 10013', 'United States']",at Mosco St,4bcf9774a8b3a5939497625f,8.8
75,Blue Bottle Coffee,Coffee Shop,150 Greenwich St,40.7105890125794,-74.012371301651,"[{'label': 'display', 'lat': 40.7105890125794, 'lng': -74.012371301651}]",586,10007,US,Financial District,New York,NY,United States,"['150 Greenwich St (Liberty)', 'New York, NY 10007', 'United States']",Liberty,59bd506ce2d4aa3d68b99a88,8.6
76,Duane Park,Park,Duane St,40.71717275801168,-74.00932869125117,"[{'label': 'display', 'lat': 40.71717275801168, 'lng': -74.00932869125117}]",568,,US,,New York,NY,United States,"['Duane St (at Hudson St)', 'New York, NY', 'United States']",at Hudson St,4c3cb549b36ac9285d7a0486,8.4
77,Tribeca Greenmarket,Farmers Market,Greenwich St,40.716802033574126,-74.01087999343872,"[{'label': 'display', 'lat': 40.716802033574126, 'lng': -74.01087999343872}]",611,10013,US,,New York,NY,United States,"['Greenwich St (btw Chambers St & Duane St)', 'New York, NY 10013', 'United States']",btw Chambers St & Duane St,4a8c4baef964a520960d20e3,8.6
78,Seaport District NYC,Historic Site,19 Fulton St,40.70733926976563,-74.00413617560737,"[{'label': 'display', 'lat': 40.70733926976563, 'lng': -74.00413617560737}]",620,10038,US,,New York,NY,United States,"['19 Fulton St', 'New York, NY 10038', 'United States']",,56eaee82498ef08d2f1ccd92,8.6
79,Barnes & Noble,Bookstore,97 Warren St,40.715605333147145,-74.01178633208771,"[{'label': 'display', 'lat': 40.715605333147145, 'lng': -74.01178633208771}, {'label': 'entrance', 'lat': 40.716026, 'lng': -74.012839}]",582,10007,US,,New York,NY,United States,"['97 Warren St (at Greenwich St)', 'New York, NY 10007', 'United States']",at Greenwich St,4a04ba93f964a52023721fe3,8.4
80,Zu Yuan Spa,Spa,48 Mott St Fl 2,40.715468729173686,-73.9986270534065,"[{'label': 'display', 'lat': 40.715468729173686, 'lng': -73.9986270534065}]",694,10013,US,,New York,NY,United States,"['48 Mott St Fl 2', 'New York, NY 10013', 'United States']",,517d6bede4b031459a5bc942,9.2
81,Oliver Coffee,Coffee Shop,9 Oliver St,40.71298560725299,-73.99810600924503,"[{'label': 'display', 'lat': 40.71298560725299, 'lng': -73.99810600924503}, {'label': 'entrance', 'lat': 40.712784, 'lng': -73.99811}]",667,10038,US,,New York,NY,United States,"['9 Oliver St (at Henry)', 'New York, NY 10038', 'United States']",at Henry,5878d46d52a05106f220729c,8.9
82,Alimama,Dessert Shop,89 Bayard St,40.7158544325844,-73.99913855578315,"[{'label': 'display', 'lat': 40.7158544325844, 'lng': -73.99913855578315}]",676,10013,US,,New York,NY,United States,"['89 Bayard St (btwn Mulberry & Mott St)', 'New York, NY 10013', 'United States']",btwn Mulberry & Mott St,5a91cf271de7652a1150d942,8.9
83,Black Fox Coffee Co.,Coffee Shop,70 Pine St,40.70657289005604,-74.00815534778381,"[{'label': 'display', 'lat': 40.70657289005604, 'lng': -74.00815534778381}]",708,10005,US,,New York,NY,United States,"['70 Pine St', 'New York, NY 10005', 'United States']",,574456e5498e39c73d234da1,9.2
84,Liberty Park,Park,Liberty St,40.71038391621699,-74.01386844682942,"[{'label': 'display', 'lat': 40.71038391621699, 'lng': -74.01386844682942}]",712,10006,US,,New York,NY,United States,"['Liberty St (at West St)', 'New York, NY 10006', 'United States']",at West St,576c2212498e72c8c38f1ddd,9.2
85,Noodle Village 粥麵軒,Chinese Restaurant,13 Mott St,40.71412788438359,-73.99874558609585,"[{'label': 'display', 'lat': 40.71412788438359, 'lng': -73.99874558609585}, {'label': 'entrance', 'lat': 40.714134, 'lng': -73.99883}]",632,10013,US,Chinatown,New York,NY,United States,"['13 Mott St (btwn Chatham Sq & Mosco St)', 'New York, NY 10013', 'United States']",btwn Chatham Sq & Mosco St,49d3deadf964a5201d5c1fe3,8.6
86,South Street Seaport,Harbor / Marina,South St,40.70689585328108,-74.00367135545213,,678,10038,US,,New York,NY,United States,"['South St (Pier 17)', 'New York, NY 10038', 'United States']",Pier 17,3fd66200f964a520daf11ee3,8.8
87,The Little Shop,Speakeasy,252 Front St,40.708295,-74.0009,"[{'label': 'display', 'lat': 40.708295, 'lng': -74.0009}]",655,10038,US,,New York,NY,United States,"['252 Front St', 'New York, NY 10038', 'United States']",,5e0541d4bc7b800008f286df,8.7
88,SoulCycle FiDi,Cycle Studio,101 Maiden Ln,40.70690416548221,-74.0067171192261,"[{'label': 'display', 'lat': 40.70690416548221, 'lng': -74.0067171192261}]",651,10038,US,,New York,NY,United States,"['101 Maiden Ln (btwn Gold & Pearl St)', 'New York, NY 10038', 'United States']",btwn Gold & Pearl St,5459292b498e72e209527504,8.6
89,Van Leeuwen Artisan Ice Cream,Ice Cream Shop,224 Front St,40.707623,-74.002308,"[{'label': 'display', 'lat': 40.707623, 'lng': -74.002308}, {'label': 'entrance', 'lat': 40.707553, 'lng': -74.002226}]",648,10038,US,Financial District,New York,NY,United States,"['224 Front St', 'New York, NY 10038', 'United States']",,59ac4e16625a664f68391f55,8.6
90,Crown Shy,Restaurant,70 Pine St,40.70618693053086,-74.00749011603791,"[{'label': 'display', 'lat': 40.70618693053086, 'lng': -74.00749011603791}]",738,10005,US,,New York,NY,United States,"['70 Pine St', 'New York, NY 10005', 'United States']",,5c883f65f4b525002c0bf2ca,9.4
91,Eye Solutions,Optical Shop,33 Mott St,40.7149274142558,-73.9987735799202,"[{'label': 'display', 'lat': 40.7149274142558, 'lng': -73.9987735799202}, {'label': 'entrance', 'lat': 40.715009, 'lng': -73.998944}]",658,10013,US,,New York,NY,United States,"['33 Mott St', 'New York, NY 10013', 'United States']",,4bb79dbb1261d13ad893e798,8.6
92,Playgarden,Playground,95 Franklin St,40.71820176415592,-74.00524750889353,"[{'label': 'display', 'lat': 40.71820176415592, 'lng': -74.00524750889353}, {'label': 'entrance', 'lat': 40.718086, 'lng': -74.0051}]",612,10013,US,,New York,NY,United States,"['95 Franklin St (West Broadway)', 'New York, NY 10013', 'United States']",West Broadway,4b6332a4f964a520f4692ae3,8.4
93,Polarn O. Pyret,Kids Store,200 Chambers St,40.71673743396806,-74.01198685624969,"[{'label': 'display', 'lat': 40.71673743396806, 'lng': -74.01198685624969}]",673,10007,US,,New York,NY,United States,"['200 Chambers St (at West St)', 'New York, NY 10007', 'United States']",at West St,4ee045e08b81e335ec7ca259,8.6
94,SoulCycle TriBeCa,Cycle Studio,103 Warren St,40.71617819906241,-74.0130073837599,"[{'label': 'display', 'lat': 40.71617819906241, 'lng': -74.0130073837599}, {'label': 'entrance', 'lat': 40.716162, 'lng': -74.012807}]",703,10007,US,,New York,NY,United States,"['103 Warren St (at West Side Hwy)', 'New York, NY 10007', 'United States']",at West Side Hwy,4b520135f964a520aa6027e3,8.8
95,Jungsik,Korean Restaurant,2 Harrison St,40.718694630954566,-74.00906972656956,"[{'label': 'display', 'lat': 40.718694630954566, 'lng': -74.00906972656956}, {'label': 'entrance', 'lat': 40.718744, 'lng': -74.009072}]",712,10013,US,,New York,NY,United States,"['2 Harrison St (at Hudson St.)', 'New York, NY 10013', 'United States']",at Hudson St.,4e67f1c7d16433b90090c8f3,8.9
96,Pasanella & Sons,Wine Shop,115 South St,40.707106571223996,-74.00160189336553,"[{'label': 'display', 'lat': 40.707106571223996, 'lng': -74.00160189336553}]",728,10038,US,,New York,NY,United States,"['115 South St', 'New York, NY 10038', 'United States']",,4b61d830f964a52088262ae3,9.0
97,Lyons Den Power Yoga,Yoga Studio,279 Church St Apt 3,40.718871955905044,-74.00498876667474,"[{'label': 'display', 'lat': 40.718871955905044, 'lng': -74.00498876667474}]",689,10013,US,,New York,NY,United States,"['279 Church St Apt 3', 'New York, NY 10013', 'United States']",,52891086498e0830151c0524,8.7
98,The Original Chinatown Ice Cream Factory,Ice Cream Shop,65 Bayard St,40.71552144597581,-73.99814520882326,"[{'label': 'display', 'lat': 40.71552144597581, 'lng': -73.99814520882326}]",733,10013,US,,New York,NY,United States,"['65 Bayard St (btwn Elizabeth & Mott St)', 'New York, NY 10013', 'United States']",btwn Elizabeth & Mott St,3fd66200f964a52033eb1ee3,9.0
99,Gotan,Café,130 Franklin St,40.719217148322926,-74.00664210319519,"[{'label': 'display', 'lat': 40.719217148322926, 'lng': -74.00664210319519}]",724,10013,US,,New York,NY,United States,"['130 Franklin St (at Varick St)', 'New York, NY 10013', 'United States']",at Varick St,5487845b498ed6d0cef81f32,8.9
